input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1438770005.671	120778	0	0	0	Shift_R	Shift_R	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	0	0	0.93
1438770006.046	120778	0	1	375	K	K	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	375	0	0.93
1438770006.264	120778	0	2	217	u	u	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	592	0	0.93
1438770006.451	120778	0	3	187	n	n	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	779	0	0.93
1438770006.576	120778	0	4	125	h	h	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	904	0	0.93
1438770006.701	120778	0	5	125	a	a	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	1029	0	0.93
1438770006.794	120778	0	6	93	n	n	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	1122	0	0.93
1438770006.888	120778	0	7	95	_	space	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	1217	0	0.93
1438770007.138	120778	0	8	250	p	p	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	1467	0	0.93
1438770007.294	120778	0	9	155	e	e	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	1622	0	0.93
1438770007.418	120778	0	10	124	l	l	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	1746	0	0.93
1438770007.512	120778	0	11	95	l	l	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	1841	0	0.93
1438770007.637	120778	0	12	125	e	e	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	1966	0	0.93
1438770007.668	120778	0	13	30	i	i	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	1996	0	0.93
1438770007.855	120778	0	14	188	l	l	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	2184	0	0.93
1438770007.949	120778	0	15	93	e	e	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	2277	0	0.93
1438770008.042	120778	0	16	94	n	n	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	2371	0	0.93
1438770008.105	120778	0	17	63	_	space	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	2434	0	0.93
1438770008.261	120778	0	18	155	k	k	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	2589	0	0.93
1438770008.354	120778	0	19	94	a	a	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	2683	0	0.93
1438770008.479	120778	0	20	125	n	n	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	2808	0	0.93
1438770008.573	120778	0	21	93	s	s	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	2901	0	0.93
1438770008.698	120778	0	22	125	s	s	Kunhan pelleilen kanssasi!	 74.53	  79.46	Kunhan pelleilen kanssasi!	Sentences	3026	0	0.93
