input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1437127376.17	301816	0	0	0	Shift_R	Shift_R	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	0	0	0.75
1437127376.638	301816	0	1	467	O	O	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	467	0	0.75
1437127377.044	301816	0	2	406	l	l	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	873	0	0.75
1437127377.169	301816	0	3	125	e	e	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	998	0	0.75
1437127377.418	301816	0	4	249	t	t	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	1247	0	0.75
1437127377.512	301816	0	5	95	k	k	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	1342	0	0.75
1437127377.59	301816	0	6	77	o	o	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	1419	0	0.75
1437127377.746	301816	0	7	156	_	space	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	1575	0	0.75
1437127378.214	301816	0	8	468	i	i	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	2043	0	0.75
1437127378.557	301816	0	9	343		BackSpace	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	2386	0	0.75
1437127378.994	301816	0	10	437	p	p	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	2823	0	0.75
1437127379.15	301816	0	11	157	a	a	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	2980	0	0.75
1437127379.243	301816	0	12	92	i	i	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	3072	0	0.75
1437127379.431	301816	0	13	188	k	k	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	3260	0	0.75
1437127379.524	301816	0	14	93	a	a	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	3353	0	0.75
1437127379.618	301816	0	15	94	l	l	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	3447	0	0.75
1437127379.774	301816	0	16	156	l	l	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	3603	0	0.75
1437127379.899	301816	0	17	125	a	a	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	3728	0	0.75
1437127380.055	301816	0	18	156	_	space	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	3884	0	0.75
1437127381.053	301816	0	19	998	z	z	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	4882	0	0.75
1437127381.396	301816	0	20	343	j	j	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	5225	0	0.75
1437127381.552	301816	0	21	156	j	j	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	5381	0	0.75
1437127382.145	301816	0	22	593	r	r	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	5974	0	0.75
1437127382.831	301816	0	23	687	w	w	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	6661	0	0.75
1437127383.331	301816	0	24	500	a	a	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	7161	0	0.75
1437127383.487	301816	0	25	155	_	space	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	7316	0	0.75
1437127383.767	301816	0	26	280	r	r	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	7596	0	0.75
1437127383.767	301816	0	27	0	t	t	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	7596	0	0.75
1437127383.955	301816	0	28	188	ö	odiaeresis	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	7784	0	0.75
1437127384.267	301816	0	29	312		BackSpace	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	8096	0	0.75
1437127384.423	301816	0	30	157		BackSpace	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	8253	0	0.75
1437127384.547	301816	0	31	123		BackSpace	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	8376	0	0.75
1437127385.078	301816	0	32	531	t	t	Oletko paikalla zjjrwa tänään?	 34.32	 201.27	Oletko paikalla zjjrwa tänään?	Mix	8907	0	0.75
